product,scent_slug,fragrance_slug,productId,title,image,lprice,mallName,link
shampoo,fruity,peach,shampoo-fruity-peach-1, 제이숲 실크 케라틴 피치 에디션 복숭아향 단백질 클리닉 미산성 샴푸 1000ml, https://shop-phinf.pstatic.net/20260813_248/1786587237261TgTOL_JPEG/26757175385564705_1245315103.jpg?type=o1000, 25900, 네이버 스토어,https://brand.naver.com/jsoop/products/10538139191?nl-ts-pid=jpa9TwqVJ5RssCEc5mG-239793&NaPm=ct%3Dmtcy3k5w%7Cci%3DrBi4nwAAAaBIUa7uAQ648Q%2E%2E01%7Ctr%3Dpmax%7Chk%3Dbc8702c8c2674fffdf1103d256055e4a00f520be%7Cnacn%3DeC8HDohKEusLA
shampoo,fruity,grapefruit,shampoo-fruity-grapefruit-1, 대용량 자몽워터 샴푸 시트러스자몽향 1.5L, https://shop-phinf.pstatic.net/20260331_28/1774922671755kliQC_JPEG/1179298084594892_893267465.jpg?type=o1000, 32000, 네이버 스토어,https://brand.naver.com/moo100/products/4208468193?NaPm=ct%3Dmtcy63z4%7Cci%3Debf47a71e6f4f7122b9869bd05144785ebf308c7%7Ctr%3Dslcbb%7Csn%3D781243%7Chk%3De5c984235e1b480892ae0a52d45cacf50b871eb8&nl-query=%EC%83%B4%ED%91%B8+%EC%9E%90%EB%AA%BD%ED%96%A5
shampoo,fruity,lemon,shampoo-fruity-lemon-1, 닥터방기원 노세범 샴푸 / 지성두피 떡진머리 지루성두피 탈모 샴푸 레몬 1L, https://shop-phinf.pstatic.net/20260810_181/1786332176487XOCpO_JPEG/40858508854774604_2038528913.jpg?type=o1000, 25600, 네이버 스토어, https://brand.naver.com/drbanggiwon/products/9826511470?NaPm=ct%3Dmtcy95jk%7Cci%3D24ee8fc1c14ad9e775586eaaa3f5136531c61427%7Ctr%3Dbrcbb%7Csn%3D369516%7Chk%3D12057edf290576b0d1820f545a3aaf6d86f86164&nl-query=%EC%83%B4%ED%91%B8+%EB%A0%88%EB%AA%AC%ED%96%A5
shampoo,fruity,mango,shampoo-fruity-mango-1, 하우 망고 샴푸 350ml, https://shop-phinf.pstatic.net/20241118_145/1731919436450iDDNb_PNG/66052249728283070_2142230893.png?type=o1000, 50000, 네이버 스토어, https://smartstore.naver.com/hwasung-tools/products/11146606544?NaPm=ct%3Dmtcyatq8%7Cci%3De675ca1d00eeca583173250b5c877648306e99f7%7Ctr%3Dslcbb%7Csn%3D390685%7Chk%3D84446ff671badd6590347795010c9fd06cc15e61&nl-query=%EC%83%B4%ED%91%B8+%EB%A7%9D%EA%B3%A0%ED%96%A5
shampoo,fruity,strawberry,shampoo-fruity-strawberry-1, 밀본 샴푸 스트로베리 핑크 150ml, https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/194859609343071-dbdbf6e2-a7c7-401f-abe8-b3c64da8d7b1.jpg, 13810, 쿠팡, https://www.coupang.com/vp/products/8396335825?itemId=20079838468&vendorItemId=93417292943&src=1032001&spec=10305197&addtag=400&ctag=8396335825&lptag=I26631184942&itime=20260828215645&pageType=PRODUCT&pageValue=8396335825&wPcid=17606238037363738733536&wRef=cr2.shopping.naver.com&wTime=20260828215645&redirect=landing&mcid=c0322d55ac194147ab2d975848550639&n_keyword=&n_ad_group=&n_ad=&n_rank=&n_keyword_id=&n_media=&n_campaign_type=&n_query=
shampoo,floral,rose,shampoo-floral-rose-1, 논픽션 로즈페일 샴푸 300ml, https://shop-phinf.pstatic.net/20260601_10/1780268892775oTn3Q_JPEG/14917628597242289_537600847.jpg?type=o1000, 39000, 네이버 스토어, https://brand.naver.com/nonfiction/products/8968166830?NaPm=ct%3Dmtcylcl4%7Cci%3Db66d26f6b8d0b2145e5fe2a36439b5beed230a13%7Ctr%3Dslcbb%7Csn%3D6277605%7Chk%3Dce331c51c317bd782e0a2f1e2882927938ea3b25&nl-query=%EC%83%B4%ED%91%B8+%EB%A1%9C%EC%A6%88%ED%96%A5
shampoo,floral,lavender,shampoo-floral-lavender-1, 살림백서 오브제 퍼퓸 샴푸 1L, https://shop-phinf.pstatic.net/20241024_294/1729729384155qSoHL_JPEG/63862288276183766_809977558.jpg?type=o1000, 41000, 네이버 스토어, https://brand.naver.com/homekeeping/products/9807899822?NaPm=ct%3Dmtcymi94%7Cci%3D098cd710758d24f18048aac6107cb07fd2107689%7Ctr%3Dbrcbb%7Csn%3D526927%7Chk%3D08994392793f48dc7c73361c80a8df0c3b07372c&nl-query=%EC%83%B4%ED%91%B8+%EB%9D%BC%EB%B2%A4%EB%8D%94%ED%96%A5
bodywash,fruity,peach,bodywash-fruity-peach-1,파머스 바디워시 복숭아 1.2L, https://shop-phinf.pstatic.net/20250417_32/1744868989900tT1Bz_JPEG/94256787693401633_425074215.jpg?type=o1000,5000, 네이버 스토어, https://smartstore.naver.com/yeonjumart/products/11730421137?n_media=684927&n_query=%EB%B3%B5%EC%88%AD%EC%95%84%EB%B0%94%EB%94%94%EC%9B%8C%EC%8B%9C&n_rank=3&n_ad_group=grp-a001-02-000000049547553&n_ad=nad-a001-02-000000374451375&n_campaign_type=2&n_mall_id=ncp_1p1dnh_01&n_mall_pid=11730421137&n_ad_group_type=2&n_match=3&NaPm=ct%3Dmtcj5rc5%7Cci%3DER02ff2dcd%2Da2a4%2D11f1%2Da59f%2Dfaf74ddd4446%7Ctr%3Dplan%7Chk%3Dc857bde4a90010ab78f8f29ca540454fce1e05bb%7Cnacn%3DUOIFBMhgtL1S
bodywash,fruity,grapefruit,bodywash-fruity-grapefruit-1,고보습 민감피부 저자극 바디워시 에너자이징(자몽향) 532ml, https://shop-phinf.pstatic.net/20240401_153/1711936701009wS1HH_JPEG/113072596713029402_1334686014.jpg?type=m10000_10000_no_rotate, 16900, 네이버 스토어, https://brand.naver.com/kenvueofficial/products/6985703888?nl-ts-pid=jpawOsqVJ5RssCEc6yl-173347&n_media=27758&n_query=%EB%B0%94%EB%94%94%EC%9B%8C%EC%8B%9C%EC%9E%90%EB%AA%BD%ED%96%A5&n_rank=2&n_ad_group=grp-a001-02-000000070136568&n_ad=nad-a001-02-000000551789483&n_campaign_type=2&n_mall_id=ncp_1o1cqb_01&n_mall_pid=6985703888&n_ad_group_type=2&n_match=3&NaPm=ct%3Dmtcv9s3l%7Cci%3DER605f3fd9%2Da2d3%2D11f1%2Dac4a%2Dca5d8a12ad1a%7Ctr%3Dpla%7Chk%3Dee2ac91770d55341c19b6e6a062fe9142510602e%7Cnacn%3DeC8HDohKEusLA#ZOOM
bodywash,fruity,lemon,bodywash-fruity-lemon-1, 바디 워시 레몬티트리 & 만다린 250ml, https://shop-phinf.pstatic.net/20260428_179/1777342363732Mnlqr_JPEG/111475242289389026_779333435.jpg?type=o1000, 31000, 네이버 스토어, https://brand.naver.com/bondiwash/products/11951226864?nl-query=%EB%B0%94%EB%94%94%EC%9B%8C%EC%8B%9C+%EB%A0%88%EB%AA%AC%ED%96%A5&nl-ts-pid=jpa2VwqosZwssecAF74-335097&NaPm=ct%3Dmtcw8ru0%7Cci%3D71f270d9da825a61e75829eadf534b0ab27f3cfb%7Ctr%3Dslssp%7Csn%3D11775434%7Chk%3D6a4acdf783727f8d4dbedbbd230781e9c9302939#ZOOM
bodywash,fruity,mango,bodywash-fruity-mango-1, 페디슨 향좋은 바디워시 대용량 망고향 2L, https://shop-phinf.pstatic.net/20241119_211/17319967157417l3ik_JPEG/66129636642123337_995659565.jpg?type=o1000, 25600, 네이버 스토어, https://smartstore.naver.com/newpia/products/5744313535?nl-query=%EB%B0%94%EB%94%94%EC%9B%8C%EC%8B%9C%20%EB%A7%9D%EA%B3%A0%ED%96%A5&nl-ts-pid=jpa30wqosZwssecA3%2FZ-452654&NaPm=ci%3Djpa30wqosZwssecA3%2FZ-452654%7Cct%3Dmtcwdzqk%7Ctr%3Dnsls%7Csn%3D179516%7Chk%3D530a57d8b19a64dfe7df254a4301f0d753b61c6f
